Author-abbrv;Title-abbrv;shortauthor;origtitle;shorthand;bibtexkey;author;maintitle;title;origlanguage;year;number;volume;translator;editor;entry
Athan.;fuga;Athanasios;Apologia de fuga sua;Athan. fuga;Athan_fuga;;;;;;;;;;@Book{Athan_fuga,author ={}, title ={Apologia de fuga sua}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Apologia de fuga sua}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Athan. fuga}, shortauthor = {Athanasios}, keywords = {ancient}, options = {antik},}
Athan.;hist. Ar.;Athanasios;Istoria Arianorum ad monachos;Athan. hist. Ar.;Athan_hist_Ar;;;;;;;;;;@Book{Athan_hist_Ar,author ={}, title ={Istoria Arianorum ad monachos}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {Istoria Arianorum ad monachos}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Athan. hist. Ar.}, shortauthor = {Athanasios}, keywords = {ancient}, options = {antik},}
Athen.;;Athenaios;;Athen.;Athen;;;;;;;;;;@Book{Athen,author ={}, title ={}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Athen.}, shortauthor = {Athenaios}, keywords = {ancient}, options = {antik},}
Aug.;civ.;Augustinus;de civitate dei;Aug. civ.;Aug_civ;;;;;;;;;;@Book{Aug_civ,author ={}, title ={de civitate dei}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {de civitate dei}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aug. civ.}, shortauthor = {Augustinus}, keywords = {ancient}, options = {antik},}
Aug.;conf.;Augustinus;confessiones;Aug. conf.;Aug_conf;;;;;;;;;;@Book{Aug_conf,author ={}, title ={confessiones}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {confessiones}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aug. conf.}, shortauthor = {Augustinus}, keywords = {ancient}, options = {antik},}
Aug.;doct.christ.;Augustinus;de doctrina christiana;Aug. doct.christ.;Aug_doctchrist;;;;;;;;;;@Book{Aug_doctchrist,author ={}, title ={de doctrina christiana}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {de doctrina christiana}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aug. doct.christ.}, shortauthor = {Augustinus}, keywords = {ancient}, options = {antik},}
Aug.;epist.;Augustinus;epistulae;Aug. epist.;Aug_epist;;;;;;;;;;@Book{Aug_epist,author ={}, title ={epistulae}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {epistulae}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aug. epist.}, shortauthor = {Augustinus}, keywords = {ancient}, options = {antik},}
Aug.;retract.;Augustinus;retractationes;Aug. retract.;Aug_retract;;;;;;;;;;@Book{Aug_retract,author ={}, title ={retractationes}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {retractationes}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aug. retract.}, shortauthor = {Augustinus}, keywords = {ancient}, options = {antik},}
Aug.;serm.;Augustinus;sermones;Aug. serm.;Aug_serm;;;;;;;;;;@Book{Aug_serm,author ={}, title ={sermones}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {sermones}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aug. serm.}, shortauthor = {Augustinus}, keywords = {ancient}, options = {antik},}
Aug.;soliloq.;Augustinus;soliloquia;Aug. soliloq.;Aug_soliloq;;;;;;;;;;@Book{Aug_soliloq,author ={}, title ={soliloquia}, publisher = HUP, location = {Cambridge, MA and London}, year = {}, volume = {}, series = LCL-lang, shortseries = LCL-kurz, origtitle = {soliloquia}, origlanguage = {}, translator = {}, editor = {}, shorthand = {Aug. soliloq.}, shortauthor = {Augustinus}, keywords = {ancient}, options = {antik},}
